,id,tag,entropy,KL_div,norm_entropy_diff
159,159,science,6.156868778208769,6.552864182026017,0.16769195832098788
160,160,george clooney,5.575526006874783,9.094810389224932,0.24628000055209232
161,161,lawyers,5.680706322088156,8.455435273713567,0.23206134081903684
162,162,depressing,6.858626783463596,3.903308286657586,0.07282574432054222
163,163,hospital,6.501224132392382,5.319525325173696,0.12114074197922432
164,164,marriage,6.574587132086941,4.9651849017183824,0.11122326333755014
165,165,jude law,5.764331961587831,8.619514045078414,0.220756520990413
166,166,road movie,5.9474598504324145,7.294650297435114,0.19600062314173566
167,167,soundtrack,7.216571172430227,0.893403882866674,0.02443751255162003
168,168,alternate endings,3.4762583585056124,11.223428956132679,0.5300666798391857
169,169,beautiful,6.922404899450946,3.2630133216472705,0.06420398531744528
170,170,solitude,4.289826539409757,10.68233011842181,0.4200855573216311
171,171,awkward,5.391367414770018,9.218397499172008,0.27117523263752813
172,172,corruption,6.655043619376469,4.1752410952492545,0.1003468610966367
173,173,murder,7.112414747092858,1.0088403042591587,0.03851775910611172
174,174,newspaper,5.157214520850452,9.349575168275091,0.3028288773085725
175,175,politics,6.562401943737101,3.862268055978298,0.11287050166896304
176,176,secrets,6.146974542795834,7.558451862295342,0.16902949725467398
177,177,humorous,6.923567300777746,3.175800205681397,0.06404684765432367
178,178,nonlinear,6.399008378848039,6.630754973021073,0.13495864142225703
179,179,excellent script,6.293761900405754,7.5183003754138875,0.1491862453426049
180,180,nostalgic,6.514794346190323,5.875727029535646,0.1193062708416706
181,181,revenge,6.996594082417394,2.074075934453331,0.054174820199111434
182,182,effects,5.873443913073716,8.662249387099873,0.2060063682851261
183,183,environmental,5.497412870509678,9.249923092090045,0.25683962004366784
184,184,alternate reality,6.472657381017294,5.955809243197047,0.12500249991993
185,185,dystopia,6.676368456031556,4.1067946876223695,0.09746409167684024
186,186,oscar (best picture),6.512467506170438,5.906275253198713,0.11962082158654032
187,187,mindfuck,6.692761910615451,4.737964112885961,0.09524796452315337
188,188,animals,5.920172501358859,7.949087700162702,0.19968942679959598
189,189,genetics,5.641546961033098,9.202065252105385,0.23735504648131972
190,190,virus,5.331521849247822,9.22007751147952,0.2792653750844886
191,191,children,6.818406090890842,3.569186871468021,0.07826292465946476
192,192,cinematography,7.158701412481706,1.445114521226895,0.03226055837414288
193,193,food,5.6602638900030176,8.073357672170685,0.234824823561459
194,194,japan,6.050444559032332,5.78694376142027,0.18207877354165075
195,195,tokyo,5.348307427447986,9.209603838172619,0.27699623922606725
196,196,humor,6.664153940110554,4.655971053466745,0.09911529461659561
197,197,sexuality,6.709493289933388,4.385881855556185,0.092986155467877
198,198,strange,6.484209579196733,6.1112360160821115,0.1234408315150669
199,199,oscar (best directing),6.517285138680672,6.021392344025405,0.11896955640214764
200,200,us president,5.084432999286701,9.837811601084082,0.31266774960962684
201,201,racing,4.590785976069185,10.235693489565898,0.3794007598418798
202,202,sports,5.445292998122928,7.982678805244258,0.2638853750339824
203,203,happy ending,6.544544466492017,5.856985421888355,0.11528454076100747
204,204,ocean,5.5367682046942654,8.556323712421374,0.2515194220169159
205,205,suspense,6.999968033393734,2.1164798124418853,0.053718717165085805
206,206,disease,5.465868491945848,8.876562902584292,0.26110390451914134
